table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,population,calendar,4,A_windowed_C3_only,strict_herzog,False,50,18,6.0,0.3333333333333333,0.1627877475083369,0.5625053270405489,0.64,,
window_false_positive,all,population,calendar,6,A_windowed_C3_only,strict_herzog,False,50,23,8.0,0.34782608695652173,0.1881127593879773,0.55109664622737,0.54,,
window_false_positive,all,population,calendar,12,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_windowed_C3_only,strict_herzog,False,50,12,4.0,0.3333333333333333,0.13812009109121315,0.6093779111272004,0.76,,
window_false_positive,all,population,cycle,6,A_windowed_C3_only,strict_herzog,False,50,6,2.0,0.3333333333333333,0.09677141110578041,0.700006684861608,0.88,,
window_false_positive,all,population,cycle,12,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,A_windowed_C3_only,strict_herzog,False,50,23,8.0,0.34782608695652173,0.1881127593879773,0.55109664622737,0.54,,
window_false_positive,all,healthy_ovulatory,calendar,1,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,B_minimum_data_any,strict_herzog,False,50,35,15.0,0.42857142857142855,0.2798456817718068,0.5914258885602508,0.30000000000000004,,
window_false_positive,all,healthy_ovulatory,calendar,6,B_minimum_data_any,strict_herzog,False,50,37,15.0,0.40540540540540543,0.26346518192014284,0.5651403526977063,0.26,,
window_false_positive,all,healthy_ovulatory,calendar,12,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,6,B_minimum_data_any,strict_herzog,False,50,29,12.0,0.41379310344827586,0.255131773413224,0.5926216401212141,0.42000000000000004,,
window_false_positive,all,healthy_ovulatory,cycle,12,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,B_minimum_data_any,strict_herzog,False,50,37,15.0,0.40540540540540543,0.26346518192014284,0.5651403526977063,0.26,,
window_false_positive,all,population,calendar,1,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,3,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,4,B_minimum_data_any,strict_herzog,False,50,41,25.0,0.6097560975609756,0.45726856934123794,0.7434385493987647,0.18000000000000005,,
window_false_positive,all,population,calendar,6,B_minimum_data_any,strict_herzog,False,50,45,28.0,0.6222222222222222,0.47629934480889535,0.7489191532786209,0.09999999999999998,,
